,end_time,energy_kWh,start_time,vehicle_id,,start_season,start_month,start_day,start_hour,start_min,end_season,end_month,end_day,end_hour,end_min,,same_day?,#_hours,start_hour_CI,mid_hours_total_CI,end_hour_CI,,#_min,start_hour_credits,mid_hour_credts,end_hour_credits,,total_credits
83,12/15/2018 12:28,3.984,12/15/2018 9:43,55P6,,4,12,15,9,43,4,12,15,12,28,,1,4,94.27,180.1,91.17,,165,-7.68404945454543E-07,3.85940945454545E-05,6.27936349090908E-06,,4.4105053090909E-05
84,12/15/2018 13:42,1.328,12/15/2018 12:33,55P6,,4,12,15,12,33,4,12,15,13,42,,1,2,91.17,0,92.03,,69,4.82652939130434E-06,0,5.00528973913042E-06,,9.83181913043476E-06
85,12/15/2018 14:48,1.328,12/15/2018 13:48,55P6,,4,12,15,13,48,4,12,15,14,48,,1,2,92.03,0,93.36,,60,1.64459519999999E-06,0,1.49160959999998E-06,,3.13620479999998E-06
86,12/16/2018 1:26,22.908,12/15/2018 18:49,63P6,,4,12,15,18,49,4,12,16,1,26,,0,8,156.4,735.74,90.25,,397,-0.000143157112141,-0.002159228450176,1.89034277078086E-05,,-0.00228348213461
87,12/15/2018 18:15,0.332,12/15/2018 17:48,58P0,,4,12,15,17,48,4,12,15,18,15,,1,2,136.96,0,156.4,,27,-2.2953152E-05,0,-4.15996E-05,,-6.4552752E-05
88,12/15/2018 2:25,0.455,12/15/2018 2:03,38P3,,4,12,15,2,3,4,12,15,2,25,,1,1,88.55,0,0,,22,8.51760000000001E-06,0,0,,8.51760000000001E-06
89,12/15/2018 14:15,7.73499999999999,12/15/2018 7:23,38P3,,4,12,15,7,23,4,12,15,14,15,,1,8,122.4,566.79,93.36,,412,-7.16460007281552E-05,-1.73969912621362E-05,3.95386165048539E-07,,-8.86476058252429E-05
90,12/15/2018 8:40,11.55,12/15/2018 5:53,47P0,,4,12,15,5,53,4,12,15,8,40,,1,4,90.98,227.48,109.22,,167,4.8277616766467E-06,-0.000597258107784,-0.000154070083832,,-0.00074650042994
91,12/15/2018 12:57,9.3132,12/15/2018 11:43,63P7,,4,12,15,11,43,4,12,15,12,57,,1,2,89.84,0,91.17,,74,3.01158683027027E-05,0,6.6629149881081E-05,,9.67450181837837E-05
92,12/15/2018 14:56,9.3132,12/15/2018 13:28,63P7,,4,12,15,13,28,4,12,15,14,56,,1,2,92.03,0,93.36,,88,2.09699397818181E-05,0,8.32092087272718E-06,,2.92908606545453E-05
93,12/15/2018 12:32,1.791,12/15/2018 12:03,23P4,,4,12,15,12,3,4,12,15,12,32,,1,1,91.17,0,0,,29,1.6634808E-05,0,0,,1.6634808E-05
94,12/15/2018 7:35,0.21,12/15/2018 7:33,15P6,,4,12,15,7,33,4,12,15,7,35,,1,1,122.4,0,0,,2,-2.16594E-05,0,0,,-2.16594E-05
95,12/15/2018 10:26,3.15,12/15/2018 10:03,15P6,,4,12,15,10,3,4,12,15,10,26,,1,1,90.26,0,0,,23,3.95765999999999E-05,0,0,,3.95765999999999E-05
96,12/15/2018 18:36,5.04,12/15/2018 17:03,15P6,,4,12,15,17,3,4,12,15,18,36,,1,2,136.96,0,156.4,,93,-0.000480517501935,0,-0.000440021264516,,-0.000920538766452
97,12/15/2018 20:44,17.01,12/15/2018 7:08,25P1,,4,12,15,7,8,4,12,15,20,44,,1,14,122.4,1306.06,141.37,,816,-0.000111800726471,-0.000815249276471,-0.000157238438824,,-0.001084288441765
98,12/15/2018 2:26,6.09,12/15/2018 0:43,18P0,,4,12,15,0,43,4,12,15,2,26,,1,3,93.34,90.25,88.55,,103,1.48359495145632E-06,4.46994174757282E-05,2.87779106796117E-05,,7.49609231067962E-05
99,12/15/2018 21:57,13.02,12/15/2018 19:18,18P0,,4,12,15,19,18,4,12,15,21,57,,1,3,153,141.37,130.78,,159,-0.000733591018868,-0.000842280996226,-0.000622221378113,,-0.002198093393208
100,12/15/2018 12:25,18.06,12/15/2018 7:23,57P5,,4,12,15,7,23,4,12,15,12,25,,1,6,122.4,383.59,91.17,,302,-0.000228212618543,-0.000110957769536,1.38858675496689E-05,,-0.00032528452053
101,12/15/2018 1:54,0.364,12/15/2018 1:38,29P0,,4,12,15,1,38,4,12,15,1,54,,1,1,90.25,0,0,,16,4.58640000000001E-06,0,0,,4.58640000000001E-06
102,12/15/2018 4:00,0.272999999999999,12/15/2018 3:48,29P0,,4,12,15,3,48,4,12,15,4,0,,1,2,87.8,0,87.91,,12,5.84765999999998E-06,0,0,,5.84765999999998E-06
103,12/15/2018 5:26,0.364,12/15/2018 5:08,29P0,,4,12,15,5,8,4,12,15,5,26,,1,1,90.98,0,0,,18,3.62980799999999E-06,0,0,,3.62980799999999E-06
104,12/15/2018 5:54,0.182,12/15/2018 5:43,29P0,,4,12,15,5,43,4,12,15,5,54,,1,1,90.98,0,0,,11,1.814904E-06,0,0,,1.814904E-06
105,12/15/2018 13:31,6.91599999999999,12/15/2018 6:03,29P0,,4,12,15,6,3,4,12,15,13,31,,1,8,105.08,597.16,92.03,,448,-3.58908907499999E-05,-0.00011557377,2.96325899999998E-06,,-0.00014850140175
106,12/15/2018 19:40,1.82,12/15/2018 18:23,29P0,,4,12,15,18,23,4,12,15,19,40,,1,2,156.4,0,153,,77,-0.000197244981818,0,-0.000201665454545,,-0.000398910436364
107,12/15/2018 23:44,2.912,12/15/2018 20:03,29P0,,4,12,15,20,3,4,12,15,23,44,,1,4,141.37,246,102.03,,221,-0.000128755516235,-0.000166497882353,-1.72816263529412E-05,,-0.000312535024941
108,12/15/2018 7:19,1.992,12/15/2018 7:03,59P2,,4,12,15,7,3,4,12,15,7,19,,1,1,122.4,0,0,,16,-0.00020545488,0,0,,-0.00020545488
109,12/15/2018 13:12,28.552,12/15/2018 9:03,59P2,,4,12,15,9,3,4,12,15,13,12,,1,5,94.27,271.27,92.03,,249,-1.2235392E-05,0.00024718464,8.52019199999997E-06,,0.00024346944
110,12/15/2018 15:44,0,12/15/2018 15:23,59P2,,4,12,15,15,23,4,12,15,15,44,,1,1,95.25,0,0,,21,0,0,0,,0
111,12/15/2018 19:11,5.644,12/15/2018 18:58,16P3,,4,12,15,18,58,4,12,15,19,11,,1,2,156.4,0,153,,13,-0.000195838116923,0,-0.001018655169231,,-0.001214493286154
112,12/15/2018 12:21,7.8804,12/15/2018 11:03,40P2,,4,12,15,11,3,4,12,15,12,21,,1,2,89.84,0,91.17,,78,8.10602191384614E-05,0,1.97058494769231E-05,,0.000100766068615
113,12/15/2018 15:02,0,12/15/2018 14:53,40P2,,4,12,15,14,53,4,12,15,15,2,,1,2,93.36,0,95.25,,9,0,0,0,,0
114,12/15/2018 14:53,6.93,12/15/2018 3:38,36P6,,4,12,15,3,38,4,12,15,14,53,,1,12,87.8,973.16,93.36,,675,4.838064E-06,-7.90796160000001E-05,7.63963199999991E-07,,-7.34775888000001E-05
115,12/15/2018 1:41,7.968,12/15/2018 0:08,45P7,,4,12,15,0,8,4,12,15,1,41,,1,2,93.34,0,90.25,,93,6.57591329032261E-06,0,4.42609548387097E-05,,5.08368681290323E-05
116,12/15/2018 6:06,0.364,12/15/2018 5:53,26P9,,4,12,15,5,53,4,12,15,6,6,,1,2,90.98,0,105.08,,13,1.954512E-06,0,-6.852384E-06,,-4.89787200000001E-06
117,12/15/2018 17:14,7.826,12/15/2018 8:48,26P9,,4,12,15,8,48,4,12,15,17,14,,1,10,109.22,750.48,136.96,,506,-1.03362590988142E-05,-1.60355667984205E-06,-3.36824853438735E-05,,-4.56223011225298E-05
118,12/15/2018 18:05,0.091,12/15/2018 17:53,26P9,,4,12,15,17,53,4,12,15,18,5,,1,2,136.96,0,156.4,,12,-8.257431E-06,0,-8.551725E-06,,-1.6809156E-05
119,12/15/2018 8:24,1.5538,12/15/2018 8:08,44P8,,4,12,15,8,8,4,12,15,8,24,,1,1,109.22,0,0,,16,-8.65342296E-05,0,0,,-8.65342296E-05
120,12/15/2018 10:14,1.0054,12/15/2018 10:03,44P8,,4,12,15,10,3,4,12,15,10,14,,1,1,90.26,0,0,,11,1.26318456E-05,0,0,,1.26318456E-05
121,12/15/2018 17:49,2.1022,12/15/2018 17:03,44P8,,4,12,15,17,3,4,12,15,17,49,,1,1,136.96,0,0,,46,-0.0003270098232,0,0,,-0.0003270098232
122,12/15/2018 17:08,1.328,12/15/2018 16:38,55P7,,4,12,15,16,38,4,12,15,17,8,,1,2,104.3,0,136.96,,30,-3.6987456E-05,0,-5.50875648E-05,,-9.20750208E-05
123,12/15/2018 17:35,3.22379999999999,12/15/2018 5:18,30P9,,4,12,15,5,18,4,12,15,17,35,,1,13,90.98,1087.18,136.96,,737,1.83202823772048E-06,-5.28444246187245E-05,-2.38152647869742E-05,,-7.48276611679782E-05
124,12/15/2018 21:06,0.7164,12/15/2018 20:08,30P9,,4,12,15,20,8,4,12,15,21,6,,1,2,141.37,0,130.78,,58,-0.000110109000166,0,-9.87950184827586E-06,,-0.000119988502014
125,12/15/2018 15:38,5.096,12/15/2018 7:28,16P7,,4,12,15,7,28,4,12,15,15,38,,1,9,122.4,660.15,95.25,,490,-3.4324992E-05,-8.76096000000007E-06,-2.13408E-06,,-4.52200320000001E-05
